居住地_省,居住地_市,就业地_省,就业地_市,count
安徽省,蚌埠市,安徽省,安庆市,22
浙江省,衢州市,安徽省,安庆市,2
江苏省,连云港市,安徽省,安庆市,5
浙江省,金华市,安徽省,安庆市,20
安徽省,铜陵市,安徽省,安庆市,272
江苏省,镇江市,安徽省,安庆市,11
安徽省,阜阳市,安徽省,安庆市,59
安徽省,马鞍山市,安徽省,安庆市,29
安徽省,黄山市,安徽省,安庆市,29
上海市,上海市,安徽省,宣城市,563
浙江省,丽水市,安徽省,宣城市,6
安徽省,亳州市,安徽省,宣城市,33
安徽省,六安市,安徽省,宣城市,35
江苏省,南京市,安徽省,宣城市,608
江苏省,南通市,安徽省,宣城市,18
浙江省,台州市,安徽省,宣城市,25
安徽省,合肥市,安徽省,宣城市,340
浙江省,嘉兴市,安徽省,宣城市,53
浙江省,宁波市,安徽省,宣城市,54
安徽省,安庆市,安徽省,宣城市,36
安徽省,宿州市,安徽省,宣城市,41
江苏省,宿迁市,安徽省,宣城市,13
江苏省,常州市,安徽省,宣城市,362
江苏省,徐州市,安徽省,宣城市,23
江苏省,扬州市,安徽省,宣城市,16
江苏省,无锡市,安徽省,宣城市,143
浙江省,杭州市,安徽省,宣城市,282
安徽省,池州市,安徽省,宣城市,38
江苏省,泰州市,安徽省,宣城市,19
安徽省,淮北市,安徽省,宣城市,11
安徽省,淮南市,安徽省,宣城市,16
江苏省,淮安市,安徽省,宣城市,14
浙江省,温州市,安徽省,宣城市,20
浙江省,湖州市,安徽省,宣城市,338
安徽省,滁州市,安徽省,宣城市,31
江苏省,盐城市,安徽省,宣城市,40
浙江省,绍兴市,安徽省,宣城市,27
浙江省,舟山市,安徽省,宣城市,3
安徽省,芜湖市,安徽省,宣城市,1062
江苏省,苏州市,安徽省,宣城市,182
安徽省,蚌埠市,安徽省,宣城市,22
浙江省,衢州市,安徽省,宣城市,7
江苏省,连云港市,安徽省,宣城市,5
浙江省,金华市,安徽省,宣城市,39
安徽省,铜陵市,安徽省,宣城市,43
江苏省,镇江市,安徽省,宣城市,31
安徽省,阜阳市,安徽省,宣城市,36
安徽省,马鞍山市,安徽省,宣城市,447
安徽省,黄山市,安徽省,宣城市,655
上海市,上海市,安徽省,宿州市,752
浙江省,丽水市,安徽省,宿州市,12
安徽省,亳州市,安徽省,宿州市,380
安徽省,六安市,安徽省,宿州市,64
江苏省,南京市,安徽省,宿州市,531
江苏省,南通市,安徽省,宿州市,126
浙江省,台州市,安徽省,宿州市,63
